paintingId,painting_name,artist,date,painting_style,painting_genre
0_0575,Vues d'architectures 5,Lucien Hervé,Undated,Pop Art,"['Landscape', 'Cityscape']"
0_0577,"Assemblage Konshie II, polish village",Franck Stella,1971,Romanticism,"['History painting', 'Mythological Painting']"
0_5832,L'enfance de Jupiter,Ker-Xavier Roussel,1940,Modern Art,"['Landscape', 'Cityscape']"
0_0668,Le Grand Char,Frédéric Coché,2010,Rococo,"['Landscape', 'Nature morte']"
0_0670,Anamorphose,Frédéric Coché,2010,Rococo,"['Portrait', 'Nude painting']"
0_0675,La blonde,André Derain,1928,Post Impressionism,"['Portrait', 'Nude painting']"
0_0779,l'hommage à Callot,Francis Gruber,1942,Expressionism,"['Portrait', 'History painting']"
0_0776,Paysage d'Aix-en-Provence,Francis Gruber,1935,Expressionism,"['Landscape', 'Nature morte']"
0_0781,Femme sur un canapé,Francis Gruber,1945,Expressionism,"['Portrait', 'Nude painting']"
0_0334,Paysage,Max Pechstein,1912,Expressionism,"['Landscape', 'Nature morte']"
0_0824,Escale,François Desnoyer,1940,Rococo,"['Landscape', 'Nature morte']"
0_0831,Paysage d'automne,Paul Sérusier,1914,Post Impressionism,"['Landscape', 'Nature morte']"
0_0851,Le Sculpteur Bussière dans son atelier,Emile Friant,Circa 1884,Realism,"['Portrait', 'Nude painting']"
0_0847,Autoportrait,Emile Friant,1895,Realism,['Portrait']
0_0848,Autoportrait,Emile Friant,1887,Realism,['Portrait']
0_0845,Le Travail du lundi,Emile Friant,1884,Realism,"['Portrait', 'Nude painting']"
0_0869,La douleur,Emile Friant,1898,Realism,"['Portrait', 'Nude painting']"
0_0861,La Toussaint,Emile Friant,1888,Realism,"['Portrait', 'Nude painting']"
0_0859,Dans la forêt,Pascal-Adolphe-Jean Dagnan-Bouveret,1892,Realism,"['Landscape', 'Nature morte']"
0_0887,Nymphe,Henri Royer,1893,Art Nouveau,"['Landscape', 'Nature morte']"
0_0890,Les Voluptueux,Victor Prouvé,1889,Art Nouveau,"['Portrait', 'Nude painting']"
