floorNumber_start,paintingId,user_id,duration_seconds,painting_name,artist,date,art_knowledge,art_involvement,visit_rate
0,0_0575,User_1,2.28,Vues d'architectures 5,Lucien Hervé,Undated,Low level,No involvement,rarely or never
0,0_0577,User_1,12.23,"Assemblage Konshie II, polish village",Franck Stella,1971,Low level,No involvement,rarely or never
0,0_5832,User_1,6.34,L'enfance de Jupiter,Ker-Xavier Roussel,1940,Low level,No involvement,rarely or never
0,0_0668,User_1,14.21,Le Grand Char,Frédéric Coché,2010,Low level,No involvement,rarely or never
0,0_0670,User_1,6.27,Anamorphose,Frédéric Coché,2010,Low level,No involvement,rarely or never
0,0_0668,User_1,3.77,Le Grand Char,Frédéric Coché,2010,Low level,No involvement,rarely or never
0,0_0675,User_1,4.89,La blonde,André Derain,1928,Low level,No involvement,rarely or never
0,0_0779,User_1,17.15,l'hommage à Callot,Francis Gruber,1942,Low level,No involvement,rarely or never
0,0_0776,User_1,4.31,Paysage d'Aix-en-Provence,Francis Gruber,1935,Low level,No involvement,rarely or never
0,0_0781,User_1,10.05,Femme sur un canapé,Francis Gruber,1945,Low level,No involvement,rarely or never
0,0_0334,User_1,7.82,Paysage,Max Pechstein,1912,Low level,No involvement,rarely or never
0,0_0824,User_1,10.33,Escale,François Desnoyer,1940,Low level,No involvement,rarely or never
0,0_0831,User_1,6.41,Paysage d'automne,Paul Sérusier,1914,Low level,No involvement,rarely or never
0,0_0851,User_1,6.0,Le Sculpteur Bussière dans son atelier,Emile Friant,Circa 1884,Low level,No involvement,rarely or never
0,0_0847,User_1,3.43,Autoportrait,Emile Friant,1895,Low level,No involvement,rarely or never
0,0_0848,User_1,6.08,Autoportrait,Emile Friant,1887,Low level,No involvement,rarely or never
0,0_0845,User_1,14.53,Le Travail du lundi,Emile Friant,1884,Low level,No involvement,rarely or never
0,0_0869,User_1,7.43,La douleur,Emile Friant,1898,Low level,No involvement,rarely or never
0,0_0861,User_1,0.26,La Toussaint,Emile Friant,1888,Low level,No involvement,rarely or never
0,0_0859,User_1,39.36,Dans la forêt,Pascal-Adolphe-Jean Dagnan-Bouveret,1892,Low level,No involvement,rarely or never
0,0_0887,User_1,8.82,Nymphe,Henri Royer,1893,Low level,No involvement,rarely or never
0,0_0890,User_1,81.98,Les Voluptueux,Victor Prouvé,1889,Low level,No involvement,rarely or never
0,0_0930,User_1,3.61,"Rue Lepic, le moulin de la Galette",Maurice Utrillo,1921-1925,Low level,No involvement,rarely or never
0,0_0300,User_1,4.77,Quai des orfèvres à Paris,Marie-Louise Siméon,Before 1937,Low level,No involvement,rarely or never
0,0_0912,User_1,4.79,Moselle à Liverdun,Victor Guillaume,1922,Low level,No involvement,rarely or never
0,0_0924,User_1,11.92,Paysage du midi,Moïse Kisling,Before 1937,Low level,No involvement,rarely or never
0,0_0918,User_1,9.43,Église de la Salute à Venise,Henry de Waroquier,Circa 1930,Low level,No involvement,rarely or never
0,0_0900,User_1,20.99,Le quai nocturne,Charles Lacoste,1902,Low level,No involvement,rarely or never
0,0_0902,User_1,9.66,Fin de journée du Décaméron,Maurice Denis,1907,Low level,No involvement,rarely or never
0,0_0906,User_1,4.53,Chute d'Icare,Ker-Xavier Roussel,Circa 1900-1905,Low level,No involvement,rarely or never
0,0_0908,User_1,7.33,L'Enlèvement des filles de Leucippe,Ker-Xavier Roussel,Before 1937,Low level,No involvement,rarely or never
0,0_0932,User_1,7.88,Femmes au piano,Pierre Laprade,Circa 1907,Low level,No involvement,rarely or never
0,0_0305,User_1,6.84,Les tulipes,Louis Valtat,Circa 1921,Low level,No involvement,rarely or never
0,0_0948,User_1,3.65,Anémones,Moïse Kisling,Before 1937,Low level,No involvement,rarely or never
1,1_0987,User_1,27.11,Les jours heureux/L'enfant couronné de fleurs ,Emile Friant,1895,Low level,No involvement,rarely or never
1,1_0983,User_1,20.02,Ophélie,Jules Bastien-Lepage,1881,Low level,No involvement,rarely or never
1,1_0978,User_1,53.66,Job,Jules Bastien-Lepage,Circa 1876-1877,Low level,No involvement,rarely or never
1,1_5909,User_1,11.86,Portrait de Lucien Wiener dans son atelier,Victor Prouvé,1890,Low level,No involvement,rarely or never
1,1_5913,User_1,94.58,Nurmahal,Victor Prouvé,1886,Low level,No involvement,rarely or never
1,1_5915,User_1,33.71,Restaurant en plein vent à Ain-Sefra,Marie-Aimée-Eliane Lucas-Robiquet,Second half of the 19th century - First half of the 20th century,Low level,No involvement,rarely or never
1,1_5917,User_1,10.76,Repos d'Arabes,Charles-Théodore Frère,1848,Low level,No involvement,rarely or never
1,1_5775,User_1,85.93,Panneau décoratif ovale : deux dragons gardant la perle sacrée,Anonyme,Undated,Low level,No involvement,rarely or never
1,1_5777,User_1,11.43,"Les cinquante-trois relais de Tôkaidô, station 44 : Yokkuichi",Utagawa Hiroshige,1831 - 1834,Low level,No involvement,rarely or never
1,1_5775,User_1,4.97,Panneau décoratif ovale : deux dragons gardant la perle sacrée,Anonyme,Undated,Low level,No involvement,rarely or never
1,1_0208,User_1,4.84,Hébé et l'aigle de Jupiter,Henri-Léopold Lévy,1876,Low level,No involvement,rarely or never
1,1_0206,User_1,8.25,Clytie changée en tournesol,Henri-Léopold Lévy,1876,Low level,No involvement,rarely or never
1,1_5876,User_1,14.17,L'Ile heureuse,Victor Prouvé,1902,Low level,No involvement,rarely or never
1,1_0178,User_1,3.42,L'Ivresse de Silène,Carle Van Loo,1747,Low level,No involvement,rarely or never
1,1_0193,User_1,11.91,Aurore et Céphale,François Boucher,1733,Low level,No involvement,rarely or never
1,1_0172,User_1,57.84,La Continence de Scipion,François Lemoyne,1727,Low level,No involvement,rarely or never
1,1_0174,User_1,14.42,Le repos de Diane,Jean-François de Troy,1726,Low level,No involvement,rarely or never
1,1_0187,User_1,20.84,La destruction du palais d'Armide,Charles-Antoine Coypel,1737,Low level,No involvement,rarely or never
1,1_0183,User_1,18.97,La Rencontre de Didon et Enée,Anonyme,Circa 1750-1760,Low level,No involvement,rarely or never
1,1_0181,User_1,3.57,La mort de Didon,Anonyme,Undated,Low level,No involvement,rarely or never
1,1_0082,User_1,13.38,Le Jour ou Le Triomphe d'Apollon,Gregorio Guglielmi,Circa 1767-1768,Low level,No involvement,rarely or never
1,1_0084,User_1,46.65,Le Lever du Soleil,Gregorio Guglielmi,Circa 1767-1768,Low level,No involvement,rarely or never
1,1_5864,User_1,22.3,Eliézer et Rebecca,Henri-Antoine de Favanne,1693,Low level,No involvement,rarely or never
1,1_0235,User_1,30.61,Portrait équestre de Madame de Saint-Baslemont,Claude Déruet,1646,Low level,No involvement,rarely or never
1,1_0239,User_1,5.77,Madeleine pénitente,Nicolas Chaperon,Circa 1635,Low level,No involvement,rarely or never
1,1_0237,User_1,9.16,Nativité,Charles Poerson,Circa 1653-1655,Low level,No involvement,rarely or never
1,1_0266,User_1,23.5,Le Pape Alexandre VII porté à la procession du Corpus Domini,Giovanni Maria Morandi,Circa 1657,Low level,No involvement,rarely or never
1,1_0268,User_1,4.97,Saint Sébastien soigné par sainte Irène,Jean Allemant,Circa 1626-1631,Low level,No involvement,rarely or never
1,1_5870,User_1,13.41,Le Ravissement de saint François,Jacque de Bellange,Circa 1600-1605,Low level,No involvement,rarely or never
1,1_0379,User_1,139.42,La Transfiguration,Pierre-Paul Rubens,1604-1605,Low level,No involvement,rarely or never
1,1_0370,User_1,9.98,L'Annonciation,Frans II Pourbus dit Le Jeune,1619,Low level,No involvement,rarely or never
2,2_2787,User_1,12.18,Promenade en barque,Francesco Giuseppe Casanova,Circa 1788,Low level,No involvement,rarely or never
2,2_2789,User_1,4.22,La Halte de chasse,Francesco Giuseppe Casanova,Before 1788,Low level,No involvement,rarely or never
2,2_2930,User_1,72.23,La Continence de Scipion,Cornelis de Vos,Circa 1630,Low level,No involvement,rarely or never
2,2_2926,User_1,8.41,Jésus marchant sur les eaux,Pierre-Paul Rubens,Circa 1618,Low level,No involvement,rarely or never
2,2_2924,User_1,7.27,Vierge à l'Enfant,Antoon van Dyck,1630-1632,Low level,No involvement,rarely or never
2,2_2922,User_1,24.97,Têtes de vieille femme,Jacob Jordaens,Circa 1620,Low level,No involvement,rarely or never
2,2_2917,User_1,2.96,Les Compteurs d'argent,Marinus Van Roejmerswalen,Late 16th century,Low level,No involvement,rarely or never
2,2_2890,User_1,48.48,L'Adoration des bergers,Anonyme flamand,Second half of the 16th century,Low level,No involvement,rarely or never
2,2_2867,User_1,7.71,Le mariage mystique de sainte Catherine,Joos Van Cleve,1514,Low level,No involvement,rarely or never
2,2_2838,User_1,49.69,Déluge / Le Déluge,"Gerolamo Bassano / Leandro, dit Bassano Leandro da Ponte",Circa 1590,Low level,No involvement,rarely or never
2,2_2840,User_1,66.59,L'Enlèvement d'Hélène,Mathis Gerung,1530-1531,Low level,No involvement,rarely or never
2,2_0527,User_1,25.1,Déposition de croix avec Joseph d'Arimthie,Maître du Saint-Sang,First quarter of the 16th century,Low level,No involvement,rarely or never
2,2_2797,User_1,33.07,Sainte Catherine,Pseudo-Gioverone,16th century,Low level,No involvement,rarely or never
